,date,country,city,killed,injured,description,year
2736,2005-05-13,Chechnya,Ishkhoi-Yurt,2,3,Islamists kill two policemen in an ambush.  Three others are injured.,2005
2737,2005-05-13,Iraq,Baiji,5,0,Car bomb kills five Iraqis.,2005
2738,2005-05-14,Iraq,Baghdad,4,10,Civilians are victimized by another suicidal car bomber looking for a ticket to paradise.,2005
2739,2005-05-14,India,Kalakote,4,1,The Mujahideen murder a father and his three sons as they are returning from their work in a coal mine.,2005
2740,2005-05-14,Iraq,Jurf al-Sakhar,3,0,Three beheaded corpses are found with signs of torture.,2005
2741,2005-05-14,India,Srinagar,1,0,A businessman is gunned down by Muslim militants.,2005
2742,2005-05-15,Iraq,Iskandariya,34,0,"The bodies of thirty-four people, some in handcuffs, are found dumped in three locations.  Jihadis tortured and beheaded many of them.",2005
2743,2005-05-15,Iraq,Baqubah,5,20,"Two suicide bombers, one in a car the other following on foot, attempt an assassination.  Five innocents are blown apart - another twenty badly injured.",2005
2744,2005-05-15,Thailand,Narathiwat,1,5,"After burning down in elementary school in Yala, Muslim extremists bomb a government vehicle, killing one Thai and injuring five others.",2005
2745,2005-05-15,Iraq,Latifiya,6,0,"Three Kuwaiti TV journalists, two Iraqi assistants and their driver are forced off the road by Jihadis then forced to kneel as their throats are cut.",2005
2746,2005-05-15,Algeria,Khenchela,11,0,All eleven members of a water supply convoy are blown up or machine-gunned by the Salafist Group for Preaching and Combat.,2005
2747,2005-05-16,Thailand,Narathiwat,1,0,A civilian is shot off his motorcycle by Islamic gunmen.,2005
2748,2005-05-16,Indonesia,Maluku,6,0,"Five policemen and a civilian are killed by Islamic militants in Indonesia, as they were sleeping.  The militants accused them of protecting a Christian village.",2005
2749,2005-05-16,Iraq,Baghdad,3,0,Three blindfolded and bound bodies are found.  Some were shot multiple times.,2005
2750,2005-05-16,Iraq,Aalgaya,2,2,Muslim gunmen shoot a policeman and his wife to death in their car.  The attack also left their two young children badly injured.,2005
2751,2005-05-17,Iraq,Dujail,6,0,Six Iraqi truck drivers are pulled from their cabs and killed by radical Sunnis.,2005
2752,2005-05-17,India,Lohardaga,4,3,"Seven family members, including women are asleep in their home when militant Muslims barge in and slit the throats of four of them while beating the rest.",2005
2753,2005-05-17,India,Srinagar,2,17,"The Mujahideen attacks a funeral of a man they murdered, killing two additional mourners and injuring seventeen.",2005
2754,2005-05-17,Algeria,Lakhdaria,3,5,"Members of an al-Qaeda linked group ambush an Algerian patrol, killing three and wounding five.",2005
2755,2005-05-18,Chechnya,Staryye Atagi,1,0,A cop is gunned down by Jihadis.,2005
2756,2005-05-18,Thailand,Narathiwat,1,0,Muslim separatists kill a defense volunteer.,2005
2757,2005-05-18,Afghanistan,Helmand,5,0,A gruesome scene as an attack on a humanitarian project leaves five people dead.,2005
2758,2005-05-18,Afghanistan,Kabul,1,0,Religious fundamentalists kill a 24-year-old woman in her home.  She had been a pop music personality.,2005
2759,2005-05-19,Iraq,Mosul,7,3,"Fedayeen gunmen attack the house of a Sunni politician, killing seven people inside the home.",2005
2760,2005-05-19,Afghanistan,Zabul,6,0,Taliban gunmen ambush and kill six humanitarian aid workers transporting the bodies from those killed in an attack the day before.,2005
2761,2005-05-19,Iraq,Samarrah,2,0,"In a brutal attack, Sunni gunmen kill a policeman and his elderly father as they are riding in a car.",2005
2762,2005-05-19,Iraq,Baghdad,1,8,Suicide bomber kills an Iraqi soldier at a checkpoint.  Eight others are injured.,2005
2763,2005-05-20,India,Mogla,4,0,"The Mujahideen ambush a security patrol from behind bushes, killing four Indian soldiers.",2005
2764,2005-05-20,Iraq,Baghdad,2,3,Two civilians are killed by a suicide bomber.  Three others are injured.,2005
2765,2005-05-20,Dagestan,Makhachkala,2,2,Gema’at Sharia assassinate a government official with a powerful bomb that also kills his driver and injures two children playing nearby.,2005
2766,2005-05-22,Thailand,Pattani,2,0,Two municipal workers are murdered by Islamists.,2005
2767,2005-05-22,Iraq,Baghdad,2,3,"Sunni radicals spray a car with automatic weapons fire, killing a top official and his driver.",2005
2768,2005-05-23,India,Kashmir,3,3,"In a series of overnight attacks, the Mujahideen hang a woman and shoot two other innocents to death.",2005
2769,2005-05-23,Iraq,Tal Afar,35,25,Two suicidal religious extremists murder more than thirty people outside the house of a community leader with twin bombings.,2005
2770,2005-05-23,Iraq,Mahmoudiya,7,22,A suicidal Sunni tries to drive his explosives-packed car into a mosque.  Seven are killed and more than thirty hurt.  Five killed are family members.,2005
2771,2005-05-23,Iraq,Baghdad,10,82,"Muslim extremists detonate a car bomb outside a Shiite restaurant, killing seven and injuring more then eighty.  Many have serious injuries.",2005
2772,2005-05-24,Iraq,Baghdad,6,8,Car bombing outside a girl's school kills six and injures eight.,2005
2773,2005-05-25,Pakistan,Makin,6,0,"A woman, her two sons and three daughters, are killed by a bomb planted in their home.",2005
2774,2005-05-25,Thailand,Pattani,1,2,"Muslim terrorists fire on a group of firefighters and police officers, killing one person.",2005
2775,2005-05-25,Chechnya,Nizhny Gerzel,1,0,A cop is gunned down by Jihadis.,2005
2776,2005-05-26,Philippines,Zamboanga,3,13,Three civilians are killed when suspected Muslim terrorists throw two hand grenades into a village.,2005
2777,2005-05-26,Iraq,Baghdad,5,0,"Jihadis attack and kill a university professor, along with three of his bodyguards.  They also knife a Shiite to death elsewhere.",2005
2778,2005-05-26,Iraq,Baghdad,3,6,Suicidal extremist kills three Iraqis and injures six with bombs hidden in a taxi.,2005
2779,2005-05-27,Nigeria,Sokoto,1,14,"Nigerian Sunnis attack a Shia political office, killing one and injuring fourteen.",2005
2780,2005-05-27,Philippines,Sulu,2,3,"Abu Sayyaf militants trigger a landmine against a vehicle on a water run, killing two soldiers and inuring three others.",2005
2781,2005-05-27,Pakistan,Islamabad,19,41,A suicide bomber blows himself up amid a crowd of mostly Shia worshippers at a Pakistani shrine.  At least nineteen are killed and dozens injured.,2005
2782,2005-05-27,Iraq,Tikrit,2,24,"Two civilians are killed and at least two dozen others injured, some badly, in a terrorist bombing.",2005
2783,2005-05-27,Thailand,Yala,2,0,Thai Muslims kill two men in separate attacks.,2005
2784,2005-05-27,Thailand,Pattani,1,0,Muslims gun down a man in front of his wife and children.,2005
2785,2005-05-27,Algeria,Ain Defla,1,0,Salafist Group for Preaching and Combat kill a security patrol member with a bomb.,2005
2786,2005-05-28,Algeria,Batna,1,0,"Islamic fundamentalists murder a shepherd, then burn his body.",2005
2787,2005-05-28,Iraq,Sinjar,5,45,Two religious extremists kill five other people and injure at least forty more in coordinated suicide bombings.,2005
2788,2005-05-28,Indonesia,Sulawesi,24,54,A priest and an infant are among the nearly two dozen Christians killed when Islamic militants detonate two bombs in the center of a village.  At least sixty others are injured.,2005
2789,2005-05-28,Iraq,Baghdad,1,0,Islamists stab a 44-year-old Japanese hostage to death on videotape.,2005
2790,2005-05-29,Afghanistan,Kandahar,1,0,"The Taliban stage a bold assassination on an opposition cleric, as he is leaving his office.",2005
2791,2005-05-29,Pakistan,Kani Wam,3,2,al-Qaeda suspected in ambush on Pakistani official's car that leaves three dead.,2005
2792,2005-05-29,Iraq,al-Madyen,2,8,A suicide car bomber kills two Iraqis and injures eight on his way to Paradise.,2005
2793,2005-05-29,Iraq,Tuz,2,9,Jihadis kill two civilians with a car bomb outside a school.  Nine others are injured.,2005
2794,2005-05-29,Iraq,Mosul,8,0,"Eight civilians, including children, are blown to bits by Islamic terrorists.",2005
2795,2005-05-29,India,Anantnag,0,44,Forty-four people are injured in twins blasts set by Hizb-ul-Mujahideen.  One went off near a post office.,2005
2796,2005-05-30,Afghanistan,Arghandab,4,7,Four officers are killed in an assault on their station by religious extremists.,2005
2797,2005-05-30,Thailand,Pattani,1,0,A Buddhist teacher is murdered by Islamic radicals.,2005
2798,2005-05-30,Iraq,Baghdad,27,118,"Two Fedayeen suicide bombers kill twenty-seven Iraqis.  The first waded into a crowd before detonating.  The second ran after the survivors, killing many of them as well.",2005
2799,2005-05-31,Pakistan,Karachi,6,0,"A mob of angry Shias take out their frustration at Sunnis on Kentucky Fried Chicken employees, killing six, including four who were burned alive.",2005
2800,2005-05-31,Pakistan,Karachi,5,26,A suicide bombing attack at a Shia mosque kills five people and injures twenty-six.,2005
2801,2005-05-31,Algeria,Boumerdes,2,5,"The Salafist Group for Preaching and Combat ambushes a security patrol, killing two and injuring five.",2005
2802,2005-05-31,Chechnya,Grozny,1,0,A civilian is blown apart in his car by a Jihad landmine.,2005
2803,2005-05-31,Thailand,Yala,1,0,A man is killed in his motorcycle shop by Muslim radicals.,2005
2804,2005-05-31,Thailand,Narathiwat,1,0,A trader is murdered by Islamists.,2005
2805,2005-06-01,Thailand,Narathiwat,1,0,A government official is murdered by Islamists.,2005
2806,2005-06-01,Thailand,Yala,1,0,A man is murdered by Muslims while inspecting a school.,2005
2807,2005-06-01,Afghanistan,Kandahar,21,42,"An al-Qaeda member wades into a crowd of mourners at a funeral for a murdered anti-Taliban cleric, killing about two dozen people and hurting dozens more.",2005
2808,2005-06-01,Afghanistan,Lashkargah,2,5,The Taliban kill two mine-detection crewmen in a remote-controlled blast.,2005
2809,2005-06-02,Iraq,Baghdad,9,0,"Muslim militants fire into a crowded market from three passing cars, murdering at least nine civilians.",2005
2810,2005-06-02,Iraq,Mosul,5,13,"Jihadis detonate bombs on two motorcycles parked outside a cafe, killing five Iraqis.",2005
2811,2005-06-02,Lebanon,Beirut,1,1,Car bombing in a Christian area of the city takes the life of a journalist who opposed Syrian hegemony.,2005
2812,2005-06-02,Iraq,Baqubah,4,4,Four Iraqis killed in a blast by a suicidal Sunni.,2005
2813,2005-06-02,Iraq,Kirkuk,4,11,A convoy of civilian contractors is targeted by a Fedayeen suicide bomber who paves his way to Paradise with at least four dead bodies.,2005
2814,2005-06-02,Iraq,Tuz Khormato,12,40,"Suicidal religious extremist plows his car into a restaurant and detonates a blast that leaves at least twelve people dead, including children, and forty others maimed.",2005
2815,2005-06-02,India,Harwan,4,1,The Mujahideen abduct and later behead four members of two families.,2005
2816,2005-06-02,Iraq,Mosul,5,0,"Thinking that they were a Christian family, Jihad gunmen spray the inside of a car with weapons fire, killing two parents and their three young children.",2005
2817,2005-06-03,Thailand,Pattani,1,0,A teacher is murdered by Islamic radicals.,2005
2818,2005-06-03,Afghanistan,Tirin Kot,1,1,"The Taliban invade the home of a civic educator, beat up his elderly father, then execute him.",2005
2819,2005-06-03,Afghanistan,Kandahar,5,5,"Five separate attacks by the Taliban, leave five people dead and at least five others injured.",2005
2820,2005-06-03,Iraq,Balad,10,12,Ten Iraqis are slaughtered by a suicidal religious fanatic in a car bombing.  Twelve more are injured.,2005
2821,2005-06-04,Mauritania,Limgheiti,15,19,al-Qaeda militants attack and kill fifteen Mauritanian soldiers in a remote area.  Nineteen others are injured.,2005
2822,2005-06-04,Algeria,Aomar,1,0,Islamic fundamentalists assassinate a deputy mayor.,2005
2823,2005-06-05,Thailand,Pattani,1,0,A man is murdered by Muslim radicals while leaving his tea shop.,2005
2824,2005-06-05,Thailand,Narathiwat,2,0,A man and his brother are shot to death in their shop by Muslim terrorists.,2005
2825,2005-06-05,India,Bandipore,2,0,The Mujahideen abduct and kill two civilians.,2005
2826,2005-06-05,Iraq,Shorgat,1,3,An Iraqi soldier is killed by a suicide bomber on a motorcycle.,2005
2827,2005-06-06,Thailand,Narathiwat,1,0,A 59-year-old Buddhist plantation worker is captured and beheaded by militant Muslims.,2005
2828,2005-06-07,Afghanistan,Gilan,1,0,A teacher is murdered by fundamentalists.,2005
2829,2005-06-07,India,Bahk-e-Hakar,1,0,A civilian is abducted from his home and beheaded by the Mujahideen.,2005
2830,2005-06-07,Israel,Ganei Tal,3,0,"Islamic Jihad bomb an Israeli greenhouse, killing three, including a Chinese worker.",2005
2831,2005-06-07,Algeria,M'sila,13,6,Militants fighting for an Islamic state kill thirteen soldiers in a bombing attack on their truck.,2005
2832,2005-06-07,Afghanistan,Spin Boldak,2,0,Two Pakistani truck drivers are murdered by the Taliban.,2005
2833,2005-06-07,Iraq,Hawija,18,38,Militant Sunnis kill eighteen Iraqi civilians in a series of four suicide bombings and other attacks.,2005
2834,2005-06-07,Iraq,Habaniyah,7,0,The 'Army of Ansar al-Sunna' ambushes a civilian truck convoy and slaughters seven drivers.,2005
2835,2005-06-09,Thailand,Yala,1,0,A Buddhist teenager is shot in the head by Muslim separatists.,2005
2836,2005-06-09,Iraq,Qaim,17,0,The bodies of seventeen Iraqi Shiites are discovered bound and executed.  Some were beheaded.,2005
2837,2005-06-09,Syria,Damascus,1,1,Two Syrian security force personnel are shot by religious extremists as they are attempting an arrest.,2005
2838,2005-06-09,Chechnya,Tver,7,1,Seven Chechen police officers are killed when Mujahideen rebels fire a grenade launcher at their car.,2005
2839,2005-06-09,Iraq,Kirkuk,2,0,Two Iraqis are killed in a Jihad attack on their vehicle.,2005
2840,2005-06-10,Iraq,Basra,2,0,A policeman and his brother are shot to death by Jihadis while riding in their car.,2005
2841,2005-06-10,Thailand,Narathiwat,2,0,"Two separate shooting attacks by Muslim militants leave two, including a Buddhist, dead.",2005
2842,2005-06-11,Thailand,Narathiwat,1,0,Muslims murder a 49-year-old Buddhist construction worker on his way to work.,2005
2843,2005-06-11,Iraq,Baghdad,10,0,"Ten people are slaughtered by a Sunni bomb in a Shia neighborhood, including a pregnant woman and her husband.",2005
2844,2005-06-11,Iraq,Najaf,2,3,"A bomb planted in a Shia cemetery kills two people, including an 8-year-old girl, and injures three others, all from the same family.",2005
2845,2005-06-11,Iraq,Diyara,11,2,"Jihad gunmen open fire on a bus carrying construction laborers, killing eleven in the brutal attack and injuring two.",2005
2846,2005-06-12,Russia,Uzunova,0,15,Fifteen people are injured when a bomb believed to be planted by Chechen terrorists derails a commuter train,2005
2847,2005-06-12,Iraq,Baghdad,3,4,"Three people are killed, and at least four injured in two separate suicide blasts.",2005
2848,2005-06-12,Afghanistan,Kandahar,1,4,The Taliban kill a woman with a landmine.  The blast injures her two children and two other women.,2005
2849,2005-06-12,Iran,Ahvaz,8,74,Four women are among eight dead in a series of bomb blasts.,2005
2850,2005-06-13,Algeria,Khadirat El Nukta,4,6,"Armed fundamentalists stage a shooting attack on a group of people, killing at least four.",2005
2851,2005-06-13,India,Pulwama,13,100,"At least thirteen people are slaughtered, and over one hundred injured when the Mujahideen set off a truck bomb near a school.  Many schoolchildren are among the casualties.",2005
2852,2005-06-13,Thailand,Pattani,1,1,Two Buddhist twin brothers are shot by Islamic terrorists as they are riding home from school.  One dies.,2005
2853,2005-06-13,Thailand,Narathiwat,1,3,"Islamic radicals plant a bomb in a garbage truck, killing one of the workers and injuring several more.",2005
2854,2005-06-14,Iraq,Baqubah,6,4,"Suicide bomber kills six Iraqis, including two children and injures four others.",2005
2855,2005-06-14,Iraq,Kirkuk,19,89,"A Fedayeen suicide bomber wades into a crowd of people shopping in a market and kills nineteen, including children, and injures about ninety others in an egregious and senseless attack.",2005
2856,2005-06-14,Afghanistan,Khost,7,0,Taliban extremists walk into a medical clinic and gun down a doctor and seven hospital workers in cold blood.,2005
2857,2005-06-15,Thailand,Pattani,4,0,Four people are murdered in three shooting attacks by Islamic radicals.,2005
2858,2005-06-15,Afghanistan,Kandahar,1,0,A man is cut to pieces by Taliban bullets.,2005
2859,2005-06-15,India,Chaklas,2,0,"The Mujahideen assassinate a veterinarian and also set fire to another civilian's house, killing his 8-month-old daughter in the flames.",2005
2860,2005-06-15,Iraq,Khalis,23,28,A particularly heinous suicide bombing attack on Iraqi soldiers eating lunch at their base leaves twenty-three dead and about thirty injured.,2005
2861,2005-06-15,Iraq,Baghdad,4,29,"A suicide bomber detonates near a market, murdering four Iraqis and injuring twenty-nine others.",2005
2862,2005-06-16,India,Awantipora,0,15,"Fifteen people, including a child and two women are injured by the splinters of a grenade thrown by the Mujahideen on a road.",2005
2863,2005-06-16,Thailand,Narathiwat,2,3,Three separate attacks in the same Thai province by militant Muslims leave two dead and three injured.,2005
2864,2005-06-16,Iraq,Mosul,2,0,"Ansar al-Sunna terrorists shoot an Iraqi judge to death, along with his driver.",2005
2865,2005-06-17,Egypt,Sinai,1,3,Islamic extremists gun down a cop.,2005
2866,2005-06-17,Russia,Astrakhan,2,1,"Islamic gunmen are thought responsible for an attack on a hospital, in which two patients were shot to death in their beds.",2005
2867,2005-06-17,Thailand,Pattani,2,0,A Laotian man and wife are beheaded on the chicken farm where they work.,2005
2868,2005-06-17,Thailand,Narathiwat,1,0,A policeman is murdered by Islamists.,2005
2869,2005-06-17,Thailand,Yala,1,0,A school guard is beaten to death by radical Muslims.,2005
2870,2005-06-17,Iraq,Fallujah,14,8,Fourteen Iraqis die when a suicide bomber detonates an explosives laden car on a street corner.,2005
2871,2005-06-18,Saudi Arabia,Makkah,1,0,Senior Saudi official is gunned down by Islamists outside his home.,2005
2872,2005-06-18,Iraq,Baghdad,3,0,"A 10-year-old girl is killed by a bomb and two bodies are found, brutally executed.",2005
2873,2005-06-19,Iran,Mashad,2,0,Two gay teenagers are hanged.,2005
2874,2005-06-19,Israel,Gaza,1,2,"The Palestinian terrorist group, Abu Rish Brigade, takes credit for an ambush on a civilian labor group that leaves an Israeli guard dead.",2005
2875,2005-06-19,Iraq,Baghdad,23,36,A suicidal religious extremist walks into a restaurant and blows up twenty-three innocent people.  Another thirty-six patrons are injured.,2005
2876,2005-06-19,Iraq,Tikrit,3,9,Fedayeen suicide bomber kills three Iraqis.,2005
2877,2005-06-19,Iraq,Iskandariya,3,7,"Sunni terrorists open fire on shoppers at a marketplace, killing three and injuring seven.",2005
2878,2005-06-19,Afghanistan,Nad Ali,3,0,"The Taliban machine-gun a car with three people, including a judge.",2005
2879,2005-06-19,India,Dachan,1,1,"The Mujahideen fire into a civilian's home, killing his 14-year-old daughter and injuring his wife.",2005
2880,2005-06-20,Thailand,Pattani,3,0,Islamic militants invade a home and shoot three young volunteer teachers to death.,2005
2881,2005-06-20,India,Watalar,1,0,Two Harkat-ul-Mujahideen terrorists assassinate a local political figure.,2005
2882,2005-06-20,Israel,Baqa al-Sharqiya,1,1,Palestinian snipers kill an Israeli civilian traveling in his car.  His 13-year-old son is shot as well.,2005
2883,2005-06-20,Iraq,Ebril,19,118,"Three car bombs, at least one by a suicidal ""holy warrior,"" kill eighteen people, mostly Kurds, and injure over one-hundred.",2005
2884,2005-06-21,Afghanistan,Kandahar,1,0,A civilian is killed in an ambush by Taliban gunmen.,2005
2885,2005-06-21,Afghanistan,Maiwand,1,1,Taliban terrorists kill the husband of an election worker.,2005
2886,2005-06-21,Lebanon,Beirut,1,1,An anti-Syria political leader is assassinated by a car bomb in Lebanon.,2005
2887,2005-06-22,Thailand,Narathiwat,0,7,"A bomb set off by Muslim extremists injures seven, including two monks and three elderly people.",2005
2888,2005-06-22,Thailand,Narathiwat,1,0,Muslim extremists behead a 34-year-old cloth vendor.  The head is found 2km away.,2005
2889,2005-06-22,Iraq,Baghdad,18,46,Eighteen Shiite civilians are slaughtered in three separate bombing attacks by radical Sunnis.  About fifty are injured.,2005
2890,2005-06-22,India,Bijbehara,0,17,"About seventeen people, including two teenage boys are injured when the Mujahideen toss a grenade onto a road.",2005
2891,2005-06-22,India,Nadihal,2,0,The Mujahideen abduct and kill two civilians by slashing their throats.,2005
2892,2005-06-22,Algeria,Skikda,1,2,A civilian is killed when Islamists put a bomb under his vehicle.,2005
2893,2005-06-23,Algeria,Azzefoun,1,5,"The Salafist Group for Preaching and Combat bombs a police convoy, killing one officer.",2005
2894,2005-06-23,Iraq,Fallujah,4,13,"A senseless attack on a U.S. Marine mail convoy kills four, including three women.",2005
2895,2005-06-23,Iraq,Baghdad,17,60,Four more car bombs aimed at Shia civilians kill fifteen and injure over fifty in residential neighborhoods.,2005
2896,2005-06-23,Pakistan,Karachi,2,1,Two Sunni clerics are assassinated in an attack that leaves a boy injured.,2005
2897,2005-06-23,Pakistan,South Waziristan,4,0,Probable al-Qaeda ambush on a delivery truck leaves four people dead.,2005
2898,2005-06-24,Iraq,Ramadi,13,10,"Eight policemen are captured at a checkpoint by Jihadis, then executed.  Two separate attacks elsewhere leave five others dead.",2005
2899,2005-06-24,Afghanistan,Chora,3,0,The Taliban murder an election candidate and two of his bodyguards.,2005
2900,2005-06-24,Thailand,Yala,2,0,"A man and his wife stop to remove a tree branch from the road, when they are attacked by militant Muslims, who then cut off their heads.",2005
2901,2005-06-24,India,Srinagar,9,25,Nine people are killed when Islamic militants detonate a powerful car bomb at a popular tourist attraction.,2005
2902,2005-06-24,Chechnya,Shali-Makhety,1,0,A man is killed by a Muslim sniper.,2005
2903,2005-06-24,Thailand,Narathiwat,1,0,A female school principal is murdered by Islamic gunmen.,2005
2904,2005-06-25,Thailand,Yala,2,0,"Two civilians, including a rubber worker, are murdered by Muslims in separate attacks.",2005
2905,2005-06-25,India,Behibagh,1,0,A female schoolteacher is killed by the Mujahideen.,2005
2906,2005-06-25,Iraq,Mosul,5,2,"Suicide bomber blows himself to Allah, taking five innocents with him.",2005
2907,2005-06-25,Iraq,Samarrah,9,16,"Suicide bomber slams into a residential neighborhood, killing nine civilians and injuring sixteen.",2005
2908,2005-06-25,Iraq,Baghdad,5,7,"Sunni insurgents mortar bomb a crowded Shia cafe, killing five civilians and injuring seven.",2005
2909,2005-06-25,Israel,Beit Hagai,2,3,"A brutal shooting attack a point-blank range on a group of Israeli teenagers, hitchhiking on a roadside, leaves a 17-year-old and a 16-year-old dead.  Three others were injured.  al-Aqsa Martyrs Brigade take credit for the murder.",2005
2910,2005-06-26,Iraq,Mosul,36,19,Four bombings by suicidal Fedayeen in disguised vehicles leave three dozen people dead and dozens more injured.,2005
2911,2005-06-26,India,Dachabpore,1,0,"The Mujahideen abduct a civilian from his home, take him to an orchard and kill him in brutal fashion.",2005
2912,2005-06-27,Iraq,Baghdad,3,0,"Islamic fundamentalists attack a barbershop, killing two, including a 9-year-old boy, then blow up the building.",2005
2913,2005-06-27,India,Kupwara,1,0,"The Mujahideen abduct a woman from her home, torture then murder her.",2005
2914,2005-06-27,Ingushetia,Karabulak,1,0,Sunni extremists murder an engineer.,2005
2915,2005-06-28,Thailand,Narathiwat,1,0,A chicken vendor is murdered by Islamists.,2005
2916,2005-06-28,Iraq,Tal Afar,4,21,"Four people, including a child, lose their lives in a Jihad mortar attack.",2005
2917,2005-06-28,Thailand,Pattani,2,0,A janitor and a poultry trader are murdered in separate attacks by Islamic militants on motorcycles.,2005
2918,2005-06-28,Thailand,Yala,1,0,Islamic militants shoot a government worker to death as he is walking along the side of the road.,2005
2919,2005-06-28,Iraq,Kirkuk,3,0,Sunni terrorists kill three oil company workers with a roadside bomb.,2005
2920,2005-06-28,Iraq,Baghdad,4,24,"Four civilians are killed, and dozens injured when fundamentalists detonate a car bomb outside a theater.",2005
2921,2005-06-28,Iraq,Musayyib,3,13,"A suicide bomber enters a hospital then detonates his explosives, killing three other people.",2005
2922,2005-06-28,Iraq,Baghdad,5,0,"An 87-year-old Iraqi politician and four others, including his son, are killed by a Fedayeen suicide bomber.",2005
2923,2005-06-28,India,Bhaderwah,4,0,Four security personnel are killed by Muslim militants in a shootout.,2005
2924,2005-06-29,India,Srinagar,0,14,Fourteen people are injured when the Mujahideen toss a grenade into a city street.,2005
2925,2005-06-29,Israel,Mount Dov,1,3,"Hezbollah attacks an Israeli position from across the Lebanese border, killing one and injuring three.",2005
2926,2005-06-29,Thailand,Narathiwat,2,0,Two people are murdered in separate attacks by radical Muslims.,2005
2927,2005-06-29,Thailand,Pattani,1,0,A city councilman is killed by Muslim assassins.,2005
2928,2005-06-30,Saudi Arabia,Mecca,1,0,A security specialist is murdered by al-Qaeda as he is leaving work.,2005
2929,2005-06-30,Thailand,Yala,1,0,A civilian is murdered by Islamists as he is leaving a market.,2005
2930,2005-06-30,India,Kallar Kattal,1,0,A man is attacked in his home and beaten to death by militant Muslims.,2005
2931,2005-06-30,Iraq,Baghdad,7,0,Muslim gunmen burst into an optician's shop and kill seven people in cold blood - four from the same family.,2005
2932,2005-06-30,India,Mahakund,4,0,"The Mujahideen kill a 20-year-old girl on the night before her wedding, along with her mother and a neighbor.  A civilian is also abducted from his home and killed in the same district.",2005
2933,2005-06-30,Afghanistan,Tirin Kot,9,1,"Nine village elders are kidnapped and killed by the Taliban, along with a 10-year-old boy.",2005
2934,2005-07-01,India,Kashmir,3,0,"Three civilians are abducted from their homes and executed by the Mujahideen, including a 65-year-old man.",2005
2935,2005-07-01,Iraq,Baghdad,1,0,A Shiite cleric is gunned down in cold blood by Sunnis in a drive-by attack.,2005
2936,2005-07-02,Thailand,Pattani,1,0,A farmer is gunned down my Islamic radicals.,2005
2937,2005-07-02,Thailand,Pattani,2,0,Two Buddhist villagers are murdered by Muslim terrorists while drinking tea.,2005
2938,2005-07-02,Thailand,Pattani,1,1,"Muslims fire on a policeman and his wife, killing the man.",2005
2939,2005-07-02,Dagestan,Makhachkala,11,23,Russian troops and civilians are casualties in a radio-controlled bomb attack outside a bathhouse blamed on Islamic militants.,2005
2940,2005-07-02,Afghanistan,Paktika,6,2,"The Taliban attack a UN convoy with a roadside bomb, killing six Afghan security personnel.",2005
2941,2005-07-02,Iraq,Mahmudiyah,2,0,A bomb hidden in a vegetable cart targets a Shia funeral procession.,2005
2942,2005-07-02,Iraq,Hilla,6,26,Two Sunni suicide bombers kill at least six people and injured dozens more in a Shia neighborhood.,2005
2943,2005-07-02,Iraq,Baghdad,16,22,A suicidal Muslim bomber kills sixteen other people outside a police station.  About two dozen others are injured in the blast.,2005
2944,2005-07-03,Afghanistan,Kandahar,1,0,Pro-democracy cleric is killed by a Taliban sniper his home.,2005
2945,2005-07-03,Syria,Damascus,2,0,"Two Syrian border patrol personnel are killed an Islamic extremist, near Lebanon.",2005
2946,2005-07-04,Afghanistan,Registan,2,0,Two Afghan policemen are kidnapped and executed by the Taliban.,2005
2947,2005-07-04,Thailand,Yala,1,0,A civilian is murdered by Muslim jihadists.,2005
2948,2005-07-04,Dagestan,Makhachkala,2,2,Two policemen are killed by an insurgent bombing.,2005
2949,2005-07-04,India,Dadsara,1,0,The Mujahideen abduct then shoot a civilian to death.,2005
2950,2005-07-04,Iraq,Baghdad,2,1,"Sunni insurgents kill a painting contractor, and kidnap, torture and behead another man.",2005
2951,2005-07-04,Iraq,Baghdad,2,4,"A remote-controlled bomb kills two civilians, including a woman.",2005
2952,2005-07-04,India,Wagbal Karhama,1,0,A youth is abducted and hanged by the Mujahideen.,2005
2953,2005-07-04,Iraq,Fallujah,3,9,"Three civilians are blown to bits, and nine others badly injured by a Fedayeen suicide bombing on a busy road.",2005
2954,2005-07-04,Afghanistan,Bande Sardeh,1,2,A suicide bomber on a bicycle kills a Turkish engineer and injures two others.,2005
2955,2005-07-05,Dagestan,Makhachkala,2,0,"A prominent politician is assassinated, along with his uncle, by suspected Islamists as they sit in their car at a light.",2005
2956,2005-07-05,India,Pulwama,2,1,"In two separate home invasions, the Mujahideen shoot two people to death and critically injure the wife of one.",2005
2957,2005-07-05,Thailand,Pattani,1,0,A 44-year-old security force member is abducted and beheaded by Islamists.,2005
2958,2005-07-05,Iraq,Baghdad,3,0,Islamic extremists shoot three barbers to death for shaving beards.,2005
2959,2005-07-06,Dagestan,Makhachkala,1,3,"Islamic militants open fire on a group of policemen, killing one.",2005
2960,2005-07-06,Thailand,Narathiwat,1,0,A newspaper deliveryman is murdered by Muslim radicals.,2005
2961,2005-07-06,Thailand,Pattani,1,0,A teacher is murdered by Islamists.,2005
2962,2005-07-06,Algeria,Tizi Ouzou,4,0,Fundamentalists slit the throats of three Algerian soldiers and a civilian.,2005
2963,2005-07-06,India,Budgam,1,0,The Mujahideen kidnap a student from his classroom and subsequently shoot him to death.,2005
2964,2005-07-06,Algeria,Skikda,1,13,"Islamic fundamentalists bomb a convoy, killing one Algerian solider and injuring thirteen others.",2005
